artist,genre,city,country,venue_type,capacity,month,event_day,days_until_event,marketing_budget,ticket_price,artist_popularity,previous_attendance_rate,pre_sale_interest,artist_market_score,is_weekend,marketing_per_capacity,price_per_capacity,popularity_marketing,occupancy_pct,tickets_sold,demand_class
TWICE,kpop,Guadalajara,Mexico,festival,40724,6,Tuesday,106,756989,3781,92,0.84,25657,0.92,0,18.58827718,0.092844514,69642988,0.88,35837,alta
Ed Sheeran,pop,Monterrey,Mexico,arena,15607,6,Tuesday,9,185348,2220,94,0.7,7978,0.92,0,11.8759531,0.142243865,17422712,0.66,10301,media
Calvin Harris,electronica,Madrid,España,stadium,65568,7,Monday,11,1639578,1919,94,0.7,30328,0.9,0,25.00576501,0.029267326,154120332,0.84,55077,alta
Martin Garrix,electronica,Guadalajara,Mexico,stadium,55706,12,Thursday,27,1055071,2675,92,0.7,30540,0.92,0,18.93998851,0.048019962,97066532,0.9,50135,alta
Stray Kids,kpop,Seul,Desconocido,arena,20606,4,Friday,37,356855,3119,91,0.7,7485,0.8,1,17.31801417,0.15136368,32473805,0.59,12158,media
Ed Sheeran,pop,Monterrey,Mexico,stadium,44996,1,Monday,176,737965,23769,94,0.7,21286,0.92,0,16.40068006,0.528246955,69368710,0.62,27898,media
Adele,pop,Monterrey,Mexico,festival,72977,3,Friday,49,2080166,32243,95,0.7,36381,0.92,1,28.5044055,0.441824136,197615770,0.86,62760,alta
Dua Lipa,pop,Monterrey,Mexico,club,2753,3,Friday,167,69149,3401,93,0.7,1410,0.92,1,25.11768979,1.235379586,6430857,0.39,1074,baja
Post Malone,rap,Bogota,Colombia,arena,15564,6,Monday,69,447779,38032,92,0.7,8850,0.88,0,28.77017476,2.443587767,41195668,0.49,7626,baja
Fuerza Regida,regional_mexicano,Los Angeles,Estados Unidos,club,1482,10,Wednesday,34,44173,2569,88,0.7,642,0.95,0,29.80634278,1.733468286,3887224,0.31,459,baja
Calvin Harris,electronica,Leon,Mexico,stadium,44665,5,Tuesday,147,581718,38709,94,0.7,20205,0.78,0,13.02402328,0.866651741,54681492,0.67,29926,media
Peso Pluma,regional_mexicano,Queretaro,Mexico,club,2849,2,Saturday,12,67348,1421,93,0.58,1155,0.82,1,23.63917164,0.498771499,6263364,0.43,1225,baja
Ed Sheeran,pop,Seul,Desconocido,arena,19295,8,Monday,98,257374,4230,94,0.7,6814,0.8,0,13.33889609,0.219227779,24193156,0.26,5017,baja
TWICE,kpop,Monterrey,Mexico,theater,7152,1,Tuesday,154,200343,2847,92,0.84,4695,0.92,0,28.01216443,0.39807047,18431556,0.69,4935,media
Travis Scott,rap,Bogota,Colombia,club,2530,4,Wednesday,87,33359,21011,93,0.7,1053,0.88,0,13.18537549,8.304743083,3102387,0.3,759,baja
aespa,kpop,CDMX,Mexico,club,2802,3,Saturday,6,62224,23212,90,0.7,1199,1,1,22.206995,8.284082798,5600160,0.27,757,baja
Kendrick Lamar,rap,Leon,Mexico,arena,21859,11,Saturday,78,302378,31976,95,0.7,12211,0.78,1,13.83311222,1.462829956,28725910,0.53,11585,baja
Bad Bunny,reggaeton,Queretaro,Mexico,arena,14310,11,Monday,164,216538,3510,95,0.7,8463,0.82,0,15.13193571,0.245283019,20571110,0.77,11019,media
aespa,kpop,Queretaro,Mexico,festival,59511,9,Saturday,172,1538448,3699,90,0.7,31167,0.82,1,25.85148964,0.062156576,138460320,0.74,44038,media
TWICE,kpop,Guadalajara,Mexico,stadium,50891,2,Thursday,25,1243202,4150,92,0.84,28478,0.92,0,24.42872021,0.081546835,114374584,0.84,42748,alta
Imagine Dragons,rock,CDMX,Mexico,festival,72296,8,Sunday,35,1494844,4269,94,0.7,33012,1,0,20.67671794,0.05904891,140515336,0.81,58560,alta
aespa,kpop,CDMX,Mexico,club,2777,9,Wednesday,82,30122,2629,90,0.7,1676,1,0,10.84695715,0.946705077,2710980,0.46,1277,baja
Banda MS,banda,CDMX,Mexico,arena,15771,5,Saturday,68,355433,3801,89,0.7,8333,1,1,22.5371251,0.241011984,31633537,0.66,10409,media
Calvin Harris,electronica,Madrid,España,festival,69286,9,Wednesday,159,1513682,2294,94,0.7,28924,0.9,0,21.84686661,0.033109142,142286108,0.81,56122,alta
Ariana Grande,pop,Monterrey,Mexico,club,629,5,Sunday,123,15745,3466,95,0.88,422,0.92,0,25.0317965,5.510333863,1495775,0.67,421,media
Kendrick Lamar,rap,Leon,Mexico,festival,87602,6,Tuesday,107,1803103,1688,95,0.7,30239,0.78,0,20.58289765,0.019268966,171294785,0.8,70082,alta
Martin Garrix,electronica,Queretaro,Mexico,arena,13358,8,Saturday,168,160738,2080,92,0.7,7472,0.82,1,12.03308879,0.155711933,14787896,0.52,6946,baja
Ariana Grande,pop,Queretaro,Mexico,stadium,75016,3,Monday,87,1890084,2129,95,0.88,39415,0.82,0,25.19574491,0.028380612,179557980,0.84,63013,alta
Clairo,indie,Leon,Mexico,stadium,31268,12,Tuesday,91,882607,24960,80,0.7,12949,0.78,0,28.22716515,0.798260202,70608560,0.45,14071,baja
Imagine Dragons,rock,Los Angeles,Estados Unidos,festival,24830,4,Monday,180,635748,1584,94,0.7,12266,0.95,0,25.60402739,0.063793798,59760312,0.63,15643,media
Adele,pop,Bogota,Colombia,theater,3077,10,Tuesday,139,52306,4519,95,0.7,1592,0.88,0,16.99902502,1.468638284,4969070,0.41,1262,baja
Peso Pluma,regional_mexicano,Monterrey,Mexico,club,2305,5,Thursday,71,36915,2220,93,0.58,1025,0.92,0,16.01518438,0.963123644,3433095,0.41,945,baja
Martin Garrix,electronica,CDMX,Mexico,festival,44883,11,Sunday,56,636820,1532,92,0.7,21192,1,0,14.18844551,0.034133191,58587440,0.6,26930,media
Ed Sheeran,pop,Bogota,Colombia,arena,18461,9,Thursday,49,413536,4219,94,0.7,11612,0.88,0,22.40052002,0.228535832,38872384,0.77,14215,media
Fuerza Regida,regional_mexicano,CDMX,Mexico,club,2718,12,Sunday,169,76919,3906,88,0.7,1672,1,0,28.29985283,1.437086093,6768872,0.48,1305,baja
Girl Ultra,indie,Los Angeles,Estados Unidos,club,2748,4,Wednesday,115,45036,3719,78,0.7,1529,0.95,0,16.38864629,1.353347889,3512808,0.53,1456,baja
Coldplay,rock,Madrid,España,festival,29982,11,Friday,74,580146,4534,96,0.7,19088,0.9,1,19.34980989,0.151224068,55694016,0.95,28483,alta
Los Tigres del Norte,norteno,Bogota,Colombia,festival,97035,7,Wednesday,14,1454906,3795,92,0.74,53428,0.88,0,14.99362086,0.0391096,133851352,0.9,87332,alta
Post Malone,rap,Leon,Mexico,arena,17045,10,Tuesday,69,361352,4567,92,0.7,9117,0.78,0,21.19988266,0.267937812,33244384,0.76,12954,media
Dua Lipa,pop,Madrid,España,stadium,78351,7,Wednesday,150,903667,2991,93,0.7,31667,0.9,0,11.53357328,0.038174369,84041031,0.81,63464,alta
Natanael Cano,corridos,Seul,Desconocido,festival,37134,5,Thursday,59,998680,3016,87,0.7,13355,0.8,0,26.89395163,0.081219368,86885160,0.6,22280,media
Coldplay,rock,Leon,Mexico,stadium,43264,12,Thursday,98,953638,1809,96,0.7,15202,0.78,0,22.04229845,0.041813055,91549248,0.57,24660,media
BLACKPINK,kpop,Queretaro,Mexico,theater,6229,12,Saturday,111,173854,3957,98,0.7,2791,0.82,1,27.91041901,0.635254455,17037692,0.63,3924,media
Travis Scott,rap,CDMX,Mexico,arena,22601,1,Saturday,62,398285,3948,93,0.7,12137,1,1,17.62245033,0.174682536,37040505,0.65,14691,media
Banda MS,banda,Los Angeles,Estados Unidos,stadium,47287,2,Monday,65,691108,2520,89,0.7,21609,0.95,0,14.61517965,0.053291602,61508612,0.62,29318,media
Travis Scott,rap,Madrid,España,arena,17392,10,Wednesday,134,513824,1448,93,0.7,10424,0.9,0,29.54369825,0.08325667,47785632,0.74,12870,media
The Weeknd,pop,Seul,Desconocido,festival,70189,10,Friday,19,1579084,3973,96,0.9,39323,0.8,1,22.49759934,0.056604311,151592064,0.85,59661,alta
TWICE,kpop,Bogota,Colombia,stadium,56833,1,Sunday,117,742203,1845,92,0.84,30009,0.88,0,13.05936692,0.032463534,68282676,0.84,47740,alta
Peso Pluma,regional_mexicano,Seul,Desconocido,club,739,5,Saturday,129,19427,3563,93,0.58,285,0.8,1,26.28822733,4.821380244,1806711,0.41,303,baja
Taylor Swift,pop,Seul,Desconocido,club,871,4,Sunday,82,16441,2023,98,0.7,341,0.8,0,18.87600459,2.322617681,1611218,0.29,253,baja
NewJeans,kpop,Leon,Mexico,club,2106,5,Saturday,25,32669,3060,93,0.7,1081,0.78,1,15.51234568,1.452991453,3038217,0.49,1032,baja
Peso Pluma,regional_mexicano,Los Angeles,Estados Unidos,club,1881,5,Tuesday,127,47653,1473,93,0.58,659,0.95,0,25.33386497,0.783094099,4431729,0.27,508,baja
Peso Pluma,regional_mexicano,CDMX,Mexico,arena,23834,1,Friday,34,420464,2385,93,0.58,14066,1,1,17.64135269,0.100067131,39103152,0.78,18591,media
Banda MS,banda,Leon,Mexico,theater,7316,11,Tuesday,158,143395,4059,89,0.7,3546,0.78,0,19.60019136,0.554811372,12762155,0.48,3512,baja
Stray Kids,kpop,Bogota,Colombia,arena,11385,7,Sunday,170,284677,21261,91,0.7,4719,0.88,0,25.00456741,1.867457181,25905607,0.6,6831,media
BTS,kpop,Bogota,Colombia,club,1107,8,Sunday,77,27338,4217,99,0.95,598,0.88,0,24.69557362,3.809394761,2706462,0.79,875,alta
Fuerza Regida,regional_mexicano,Madrid,España,arena,17093,1,Tuesday,64,255738,2267,88,0.7,9637,0.9,0,14.96156321,0.132627391,22504944,0.74,12649,media
Martin Garrix,electronica,Bogota,Colombia,stadium,78818,3,Friday,155,1111366,1949,92,0.7,43242,0.88,1,14.10040854,0.024727854,102245672,0.92,72513,alta
Coldplay,rock,Los Angeles,Estados Unidos,stadium,67064,3,Friday,37,1504548,4225,96,0.7,41874,0.95,1,22.43451032,0.062999523,144436608,0.92,61699,alta
BLACKPINK,kpop,Seul,Desconocido,club,2842,9,Tuesday,18,55581,2356,98,0.7,1555,0.8,0,19.55700211,0.828993666,5446938,0.48,1364,baja
Stray Kids,kpop,Seul,Desconocido,festival,60471,12,Thursday,58,1615236,1502,91,0.7,21057,0.8,0,26.71091928,0.024838352,146986476,0.8,48377,alta
Clairo,indie,Los Angeles,Estados Unidos,festival,28202,11,Tuesday,70,611196,3830,80,0.7,12172,0.95,0,21.67207999,0.135805971,48895680,0.36,10153,baja
Taylor Swift,pop,Queretaro,Mexico,arena,12067,3,Tuesday,52,328731,2146,98,0.7,4766,0.82,0,27.24214801,0.177840391,32215638,0.28,3379,baja
Clairo,indie,Leon,Mexico,arena,17713,7,Thursday,168,413209,1301,80,0.7,8034,0.78,0,23.32800768,0.073448879,33056720,0.51,9034,baja
Banda MS,banda,Guadalajara,Mexico,stadium,32754,2,Wednesday,10,417347,3051,89,0.7,17468,0.92,0,12.74186359,0.093148928,37143883,0.7,22928,media
David Guetta,electronica,Guadalajara,Mexico,theater,5750,10,Saturday,177,113154,2283,93,0.82,3223,0.92,1,19.67895652,0.397043478,10523322,0.63,3622,media
Siddhartha,indie,Los Angeles,Estados Unidos,club,2683,3,Tuesday,30,40052,37645,85,0.7,1029,0.95,0,14.9280656,14.03093552,3404420,0.27,724,baja
The Weeknd,pop,Queretaro,Mexico,festival,43629,3,Sunday,125,1195176,4352,96,0.9,24417,0.82,0,27.39407275,0.099750166,114736896,0.85,37085,alta
Karol G,reggaeton,Monterrey,Mexico,arena,19286,11,Thursday,173,487066,2007,94,0.7,9297,0.92,0,25.25489993,0.104065125,45784204,0.63,12150,media
Bad Bunny,reggaeton,Los Angeles,Estados Unidos,festival,65208,4,Thursday,156,1443437,2446,95,0.7,40302,0.95,0,22.13588823,0.037510735,137126515,0.92,59991,alta
Ariana Grande,pop,Queretaro,Mexico,theater,3264,4,Thursday,62,83358,3308,95,0.88,2096,0.82,0,25.53860294,1.013480392,7919010,0.7,2285,media
aespa,kpop,Seul,Desconocido,stadium,60077,5,Wednesday,74,837374,3473,90,0.7,31770,0.8,0,13.93834579,0.057809145,75363660,0.76,45659,media
Kendrick Lamar,rap,Bogota,Colombia,stadium,49644,3,Wednesday,50,1155703,1516,95,0.7,25057,0.88,0,23.27981226,0.030537426,109791785,0.87,43190,alta
Clairo,indie,Monterrey,Mexico,festival,72637,1,Sunday,41,2092144,3593,80,0.7,26339,0.92,0,28.80273139,0.049465149,167371520,0.81,58836,alta
Cuco,indie,Queretaro,Mexico,stadium,73668,11,Thursday,42,864053,22692,82,0.7,33667,0.82,0,11.72901395,0.308030624,70852346,0.72,53041,media
BLACKPINK,kpop,Monterrey,Mexico,festival,21704,12,Saturday,164,584446,3451,98,0.7,13593,0.92,1,26.9280317,0.159002949,57275708,0.73,15844,media
Natanael Cano,corridos,Leon,Mexico,arena,16293,7,Wednesday,93,392052,24785,87,0.7,6985,0.78,0,24.06260357,1.521205426,34108524,0.42,6843,baja
Calvin Harris,electronica,Leon,Mexico,theater,6235,4,Tuesday,59,119510,3456,94,0.7,3190,0.78,0,19.16760225,0.554290297,11233940,0.48,2993,baja
Peso Pluma,regional_mexicano,Bogota,Colombia,theater,8214,8,Sunday,176,210177,4489,93,0.58,3401,0.88,0,25.58765522,0.546505965,19546461,0.4,3286,baja
Adele,pop,Bogota,Colombia,club,1219,8,Tuesday,113,25359,3490,95,0.7,631,0.88,0,20.80311731,2.863002461,2409105,0.41,500,baja
Martin Garrix,electronica,CDMX,Mexico,club,1490,6,Monday,49,24975,33045,92,0.7,808,1,0,16.76174497,22.17785235,2297700,0.38,566,baja
David Guetta,electronica,Monterrey,Mexico,arena,16951,2,Wednesday,32,395125,3296,93,0.82,7866,0.92,0,23.30983423,0.194442806,36746625,0.57,9662,media
Imagine Dragons,rock,Leon,Mexico,stadium,71630,1,Monday,152,958339,3606,94,0.7,25681,0.78,0,13.37901717,0.050342035,90083866,0.58,41545,media
Bad Bunny,reggaeton,Bogota,Colombia,festival,83819,3,Saturday,33,1712072,2528,95,0.7,32577,0.88,1,20.42582231,0.030160226,162646840,0.8,67055,alta
Martin Garrix,electronica,Guadalajara,Mexico,stadium,34712,2,Sunday,10,375040,35002,92,0.7,19258,0.92,0,10.8043328,1.00835446,34503680,0.7,24298,media
Imagine Dragons,rock,Seul,Desconocido,festival,25336,2,Sunday,1,642325,2932,94,0.7,10556,0.8,0,25.35226555,0.115724661,60378550,0.63,15962,media
David Guetta,electronica,Queretaro,Mexico,theater,5456,3,Thursday,172,71177,36854,93,0.82,2998,0.82,0,13.04563783,6.754765396,6619461,0.4,2182,baja
David Guetta,electronica,Bogota,Colombia,club,1977,6,Friday,50,53571,34171,93,0.82,1404,0.88,1,27.09711684,17.28426909,4982103,0.76,1503,media
The Weeknd,pop,CDMX,Mexico,club,1157,11,Wednesday,135,32971,4784,96,0.9,762,1,0,28.49697494,4.134831461,3165216,0.83,960,alta
TWICE,kpop,Guadalajara,Mexico,theater,7496,2,Wednesday,112,75279,3287,92,0.84,4448,0.92,0,10.04255603,0.438500534,6925668,0.65,4872,media
Ed Sheeran,pop,Madrid,España,stadium,59442,6,Wednesday,89,1761890,23712,94,0.7,34849,0.9,0,29.64048989,0.398909862,165617660,0.93,55281,alta
David Guetta,electronica,CDMX,Mexico,club,1468,5,Tuesday,129,43650,2371,93,0.82,843,1,0,29.73433243,1.615122616,4059450,0.61,895,media
Adele,pop,Bogota,Colombia,theater,5291,6,Saturday,60,121252,3113,95,0.7,2120,0.88,1,22.91665092,0.588357588,11518940,0.58,3069,media
Post Malone,rap,Bogota,Colombia,stadium,78281,1,Wednesday,155,787105,4058,92,0.7,34621,0.88,0,10.05486644,0.051838888,72413660,0.62,48534,media
BLACKPINK,kpop,Leon,Mexico,festival,34354,7,Friday,124,970371,4692,98,0.7,13282,0.78,1,28.24623042,0.136577982,95096358,0.6,20612,media
Arctic Monkeys,rock,CDMX,Mexico,stadium,76434,8,Saturday,108,1947068,2681,92,0.7,52589,1,1,25.47384672,0.035076013,179130256,0.96,73377,alta
Natanael Cano,corridos,Monterrey,Mexico,stadium,49713,11,Friday,4,1040542,3085,87,0.7,28234,0.92,1,20.93098385,0.062056203,90527154,0.94,46730,alta
Dua Lipa,pop,CDMX,Mexico,club,1002,10,Friday,167,11327,2186,93,0.7,610,1,1,11.30439122,2.181636727,1053411,0.44,441,baja
Grupo Firme,banda,Leon,Mexico,club,1342,6,Tuesday,132,17074,4068,90,0.78,766,0.78,0,12.72280179,3.031296572,1536660,0.51,684,baja
Arctic Monkeys,rock,Guadalajara,Mexico,arena,10188,6,Saturday,53,240117,3855,92,0.7,6107,0.92,1,23.56861013,0.378386337,22090764,0.74,7539,media
Martin Garrix,electronica,Queretaro,Mexico,club,1794,8,Monday,164,33092,4504,92,0.7,695,0.82,0,18.44593088,2.510590858,3044464,0.31,556,baja
Dua Lipa,pop,Leon,Mexico,theater,8937,1,Tuesday,119,241637,28342,93,0.7,4772,0.78,0,27.0378203,3.171310283,22472241,0.52,4647,baja
Martin Garrix,electronica,CDMX,Mexico,festival,29279,12,Saturday,60,711070,1654,92,0.7,16833,1,1,24.28600704,0.056491,65418440,0.89,26058,alta
David Guetta,electronica,Madrid,España,festival,65948,9,Tuesday,67,760386,3840,93,0.82,45867,0.9,0,11.53008431,0.058227695,70715898,0.94,61991,alta
Fuerza Regida,regional_mexicano,Leon,Mexico,arena,20556,6,Saturday,36,216914,3845,88,0.7,10403,0.78,1,10.55234481,0.18705001,19088432,0.52,10689,baja
Ed Sheeran,pop,CDMX,Mexico,stadium,71318,3,Thursday,107,874338,1914,94,0.7,37218,1,0,12.25971003,0.026837545,82187772,0.85,60620,alta
Ariana Grande,pop,Los Angeles,Estados Unidos,theater,4455,10,Wednesday,115,89502,3785,95,0.88,2475,0.95,0,20.09023569,0.849607183,8502690,0.58,2584,media
TWICE,kpop,Guadalajara,Mexico,theater,3532,11,Sunday,56,67536,1854,92,0.84,1890,0.92,0,19.1211778,0.524915062,6213312,0.61,2155,media
Post Malone,rap,Monterrey,Mexico,festival,23815,10,Thursday,8,494864,2288,92,0.7,11883,0.92,0,20.77950871,0.096073903,45527488,0.87,20719,alta
Cuco,indie,Bogota,Colombia,club,781,5,Wednesday,105,10547,3793,82,0.7,402,0.88,0,13.50448143,4.85659411,864854,0.5,390,baja
Grupo Firme,banda,CDMX,Mexico,arena,24152,5,Tuesday,26,661800,1934,90,0.78,17588,1,0,27.40145744,0.080076184,59562000,0.94,22703,alta
Taylor Swift,pop,Madrid,España,theater,5952,11,Saturday,22,175121,2912,98,0.7,2400,0.9,1,29.42221102,0.489247312,17161858,0.56,3333,media
BTS,kpop,Bogota,Colombia,festival,84120,9,Saturday,7,2291481,2887,99,0.95,61255,0.88,1,27.24062054,0.034320019,226856619,0.88,74026,alta
Kendrick Lamar,rap,Leon,Mexico,stadium,54310,7,Thursday,37,1615082,4082,95,0.7,23602,0.78,0,29.73820659,0.075161112,153432790,0.87,47250,alta
Siddhartha,indie,CDMX,Mexico,festival,70491,4,Tuesday,127,1161678,2879,85,0.7,31454,1,0,16.47980593,0.040842093,98742630,0.83,58508,alta
Drake,rap,CDMX,Mexico,club,1324,3,Sunday,62,30537,2188,94,0.86,753,1,0,23.0641994,1.652567976,2870478,0.59,781,media
Ed Sheeran,pop,Los Angeles,Estados Unidos,theater,8484,8,Saturday,21,105677,1500,94,0.7,4253,0.95,1,12.45603489,0.176803395,9933638,0.63,5345,media
Martin Garrix,electronica,Leon,Mexico,stadium,38691,7,Saturday,44,563140,4016,92,0.7,20879,0.78,1,14.55480603,0.103796749,51808880,0.77,29792,media
BTS,kpop,Madrid,España,arena,20806,2,Wednesday,147,368302,4006,99,0.95,14009,0.9,0,17.70172066,0.192540613,36461898,0.85,17685,alta
NewJeans,kpop,Guadalajara,Mexico,theater,7780,12,Tuesday,94,97159,3103,93,0.7,4117,0.92,0,12.48830334,0.398843188,9035787,0.41,3190,baja
TWICE,kpop,Madrid,España,arena,23125,9,Monday,8,351191,2376,92,0.84,15543,0.9,0,15.18663784,0.102745946,32309572,0.92,21275,alta
Karol G,reggaeton,Leon,Mexico,arena,23987,2,Sunday,126,612228,3853,94,0.7,10017,0.78,0,25.52332513,0.160628674,57549432,0.64,15352,media
Natanael Cano,corridos,Los Angeles,Estados Unidos,festival,77124,7,Wednesday,57,1204793,4312,87,0.7,48516,0.95,0,15.62150563,0.055909963,104816991,0.96,74039,alta
Grupo Firme,banda,Bogota,Colombia,festival,81152,6,Saturday,113,2066219,3008,90,0.78,54299,0.88,1,25.46109769,0.037066246,185959710,0.96,77906,alta
Karol G,reggaeton,Guadalajara,Mexico,club,822,2,Tuesday,50,15744,26929,94,0.7,380,0.92,0,19.15328467,32.76034063,1479936,0.33,271,baja
Drake,rap,Seul,Desconocido,festival,94422,12,Friday,7,2294778,3336,94,0.86,53356,0.8,1,24.30342505,0.035330749,215709132,0.88,83091,alta
Ariana Grande,pop,Monterrey,Mexico,arena,17386,1,Sunday,156,297708,3121,95,0.88,10502,0.92,0,17.12343265,0.179512251,28282260,0.84,14604,alta
Arctic Monkeys,rock,CDMX,Mexico,stadium,49851,8,Friday,83,591618,3156,92,0.7,24983,1,1,11.86772582,0.06330866,54428856,0.84,41875,alta
Martin Garrix,electronica,Monterrey,Mexico,arena,16442,8,Saturday,116,420862,2137,92,0.7,6494,0.92,1,25.59676438,0.129972023,38719304,0.57,9372,media
Adele,pop,Guadalajara,Mexico,stadium,71172,6,Thursday,135,1786624,3619,95,0.7,40247,0.92,0,25.10290564,0.050848648,169729280,0.9,64055,alta
Stray Kids,kpop,Bogota,Colombia,theater,3582,8,Wednesday,82,62309,2441,91,0.7,1759,0.88,0,17.39503071,0.68146287,5670119,0.4,1433,baja
Kendrick Lamar,rap,Los Angeles,Estados Unidos,festival,86473,8,Friday,142,1720431,2138,95,0.7,36775,0.95,1,19.89558591,0.02472448,163440945,0.8,69178,alta
BLACKPINK,kpop,Seul,Desconocido,festival,51470,12,Thursday,113,774846,1704,98,0.7,21902,0.8,0,15.05432291,0.033106664,75934908,0.84,43235,alta
Calvin Harris,electronica,Queretaro,Mexico,arena,15644,3,Thursday,21,381422,3827,94,0.7,8937,0.82,0,24.38136027,0.244630529,35853668,0.76,11889,media
Arctic Monkeys,rock,Bogota,Colombia,club,1046,1,Wednesday,155,25565,28853,92,0.7,449,0.88,0,24.44072658,27.58413002,2351980,0.32,335,baja
Peso Pluma,regional_mexicano,CDMX,Mexico,stadium,33280,3,Wednesday,161,882081,1501,93,0.58,12839,1,0,26.50483774,0.045102163,82033533,0.59,19635,media
Natanael Cano,corridos,Queretaro,Mexico,arena,12367,6,Friday,27,196648,1416,87,0.7,5375,0.82,1,15.90102693,0.114498262,17108376,0.4,4947,baja
Post Malone,rap,Seul,Desconocido,stadium,68999,7,Wednesday,62,1704264,3030,92,0.7,38874,0.8,0,24.69983623,0.04391368,156792288,0.97,66929,alta
BLACKPINK,kpop,Los Angeles,Estados Unidos,festival,29310,3,Friday,19,343067,1491,98,0.7,14496,0.95,1,11.70477653,0.05087001,33620566,0.83,24327,alta
Clairo,indie,CDMX,Mexico,club,1703,11,Wednesday,153,39931,2974,80,0.7,908,1,0,23.44744568,1.746330006,3194480,0.45,766,baja
Fuerza Regida,regional_mexicano,Monterrey,Mexico,club,1630,5,Saturday,141,25609,3636,88,0.7,917,0.92,1,15.71104294,2.230674847,2253592,0.48,782,baja
David Guetta,electronica,Seul,Desconocido,club,789,1,Thursday,81,20605,1409,93,0.82,364,0.8,0,26.11533587,1.785804816,1916265,0.32,252,baja
Ariana Grande,pop,Queretaro,Mexico,stadium,31052,2,Monday,121,770231,3673,95,0.88,20812,0.82,0,24.80455365,0.118285457,73171945,0.92,28568,alta
Ed Sheeran,pop,Monterrey,Mexico,stadium,46884,12,Thursday,13,1098844,4530,94,0.7,23145,0.92,0,23.43750533,0.096621449,103291336,0.86,40320,alta
Fuerza Regida,regional_mexicano,Madrid,España,club,2917,4,Monday,126,71983,2369,88,0.7,1511,0.9,0,24.67706548,0.812135756,6334504,0.44,1283,baja
Post Malone,rap,Bogota,Colombia,arena,16587,5,Monday,25,471307,2358,92,0.7,8790,0.88,0,28.41424007,0.142159523,43360244,0.7,11611,media
Siddhartha,indie,Madrid,España,arena,15937,12,Wednesday,109,338764,1371,85,0.7,7605,0.9,0,21.25644726,0.086026228,28794940,0.41,6534,baja
Natanael Cano,corridos,Los Angeles,Estados Unidos,theater,8520,5,Monday,19,86306,1394,87,0.7,3404,0.95,0,10.12981221,0.163615023,7508622,0.28,2386,baja
